player_id,player_name,feature_season,outcome_season,position,feature_team,has_valid_outcome,breakout_label_default,breakout_reason,wr_signal_score,rank,scoring_version
00-0031588,S.Diggs,2020,2021,WR,BUF,True,False,no_breakout_trigger,39.1852,1,wr_signal_score_role_balanced_v1
00-0031381,D.Adams,2020,2021,WR,GB,True,False,no_breakout_trigger,38.8741,2,wr_signal_score_role_balanced_v1
00-0030564,D.Hopkins,2020,2021,WR,ARI,True,False,no_breakout_trigger,38.8010,3,wr_signal_score_role_balanced_v1
00-0033040,T.Hill,2020,2021,WR,KC,True,False,no_breakout_trigger,38.2131,4,wr_signal_score_role_balanced_v1
00-0031428,A.Robinson,2020,2021,WR,CHI,True,False,no_breakout_trigger,38.0928,5,wr_signal_score_role_balanced_v1
00-0034837,C.Ridley,2020,2021,WR,ATL,True,False,no_breakout_trigger,37.5097,6,wr_signal_score_role_balanced_v1
00-0032211,T.Lockett,2020,2021,WR,SEA,True,False,no_breakout_trigger,37.2916,7,wr_signal_score_role_balanced_v1
00-0035640,D.Metcalf,2020,2021,WR,SEA,True,False,no_breakout_trigger,37.2184,8,wr_signal_score_role_balanced_v1
00-0036322,J.Jefferson,2020,2021,WR,MIN,True,True,beat_expected_baseline,36.8640,9,wr_signal_score_role_balanced_v1
00-0030279,K.Allen,2020,2021,WR,LAC,True,False,no_breakout_trigger,36.1386,10,wr_signal_score_role_balanced_v1
00-0030035,A.Thielen,2020,2021,WR,MIN,True,True,beat_expected_baseline,35.7016,11,wr_signal_score_role_balanced_v1
00-0035676,A.Brown,2020,2021,WR,TEN,True,False,no_breakout_trigger,34.4282,12,wr_signal_score_role_balanced_v1
00-0031408,M.Evans,2020,2021,WR,TB,True,True,beat_expected_baseline,34.1376,13,wr_signal_score_role_balanced_v1
00-0030431,R.Woods,2020,2021,WR,LA,True,True,beat_expected_baseline,34.0450,14,wr_signal_score_role_balanced_v1
00-0035216,D.Johnson,2020,2021,WR,PIT,True,True,beat_expected_baseline,33.5624,15,wr_signal_score_role_balanced_v1
00-0031236,B.Cooks,2020,2021,WR,HOU,True,True,beat_expected_baseline,33.1961,16,wr_signal_score_role_balanced_v1
00-0031544,A.Cooper,2020,2021,WR,DAL,True,False,no_breakout_trigger,32.7544,17,wr_signal_score_role_balanced_v1
00-0035659,T.McLaurin,2020,2021,WR,WAS,True,False,no_breakout_trigger,32.6141,18,wr_signal_score_role_balanced_v1
00-0033857,J.Smith-Schuster,2020,2021,WR,PIT,True,False,no_breakout_trigger,32.0214,19,wr_signal_score_role_balanced_v1
00-0032688,R.Chosen,2020,2021,WR,CAR,True,False,no_breakout_trigger,30.4714,20,wr_signal_score_role_balanced_v1
00-0029293,M.Jones,2020,2021,WR,DET,True,False,no_breakout_trigger,30.3976,21,wr_signal_score_role_balanced_v1
00-0033921,C.Godwin,2020,2021,WR,TB,True,True,beat_expected_baseline,29.6585,22,wr_signal_score_role_balanced_v1
00-0033127,W.Fuller,2020,2021,WR,HOU,True,False,no_breakout_trigger,29.6404,23,wr_signal_score_role_balanced_v1
00-0033908,C.Kupp,2020,2021,WR,LA,True,True,top24_jump,29.1772,24,wr_signal_score_role_balanced_v1
00-0034827,D.Moore,2020,2021,WR,CAR,True,True,beat_expected_baseline,29.0573,25,wr_signal_score_role_balanced_v1
00-0036261,B.Aiyuk,2020,2021,WR,SF,True,False,no_breakout_trigger,28.9483,26,wr_signal_score_role_balanced_v1
